['dehke', 'दहके']
['daraayenge', 'डरायेंगे']
['dhikkar', 'धिक्कार']
['devaki', 'देवकी']
['dilavaate', 'दिलवाते']
['dikhalaai', 'दिखलाई']
['dukhan', 'दुखन']
['duboke', 'डुबोके']
['dange', 'दंगे']
['dara', 'दारा']
['dilakar', 'दिलाकर']
['doulaton', 'दौलतों']
['doulato', 'दौलतों']
['dinge', 'डींगे']
['diwaala', 'दिवाला']
['dusaron', 'दुसरों']
['dihaade', 'दिहाड़े']
['devraniji', 'देवरानीजी']
['devrani', 'देवरानी']
['dekhyo', 'देख्यो']
['daari', 'डारि']
['dukki', 'दुक्की']
['dattaa', 'दत्ता']
['datta', 'दत्ता']
['dhinak', 'धिनक']
['dhamal', 'धमाल']
['dafanaaungee', 'दफ़नाऊँगी']
['dhruv', 'ध्रुव']
['dikhaaenge', 'दिखाएंगे']
['devon', 'देवों']
['dubaata', 'डुबाता']
['dinse', 'दिन्से']
['dilmein', 'दिल्मेइन']
['dunka', 'दुनका']
['dukhamen', 'दुखमें']
['doliyon', 'डोलीयों']
['dukho', 'दुखो']
['daare', 'दारे']
['dulaaron', 'दुलारों']
['daali', 'दालि']
['dagariya', 'दगरीया']
['darat', 'दरत']
['duubo', 'डूबो']
['dilajala', 'दिलजला']
['dhadkaaoongi', 'धड़काऊँगी']
['dilarubaan', 'दिलरुबाँ']
['dagaabaaj', 'दगाबाज']
['dhobaniyaa', 'धोबनिया']
['daanam', 'दानम']
['diyara', 'दियरा']
['diyaraa', 'दियरा']
['dahakane', 'दहकने']
['duudhon', 'दूधों']
['dinase', 'दिनसे']
['duguni', 'दुगुनी']
['duniyaawaalon', 'दुनियावालो']
['daleelon', 'दलीलों']
['dulhanen', 'दुल्हनें']
['duharaayengin', 'दुहराएँगीं']
['daraye', 'डराए']
['dhilak', 'ढिलक']
['dikhaayunga', 'दिखायुंगा']
['dahati', 'दाहाती']
['daalunga', 'डालूँगा']
['daalana', 'डालना']
['darde', 'दर्दे']
['diloke', 'दिलोके']
['dl', 'डल']
['dilrubaai', 'दिलरुबाई']
['dear', 'डियर']
['dhundhe', 'दूनदे']
['doondhe', 'दूनदे']
['dubon', 'डुबों']
['darbadar', 'डरबदार']
['dhudata', 'ढूदता']
['dilliwaale', 'दिल्लीवाले']
['daaya', 'दाया']
['dikhaaoge', 'दिखाओगे']
['dehlizo', 'दहलीजों']
['dehlijon', 'दहलीजों']
['drama', 'ड्रामा']
['dilpar', 'दिलपर']
['darake', 'दरके']
['digrees', 'डिग्रीस']
['dhoom', 'धूम']
['dhaam', 'धाम']
['diwaali', 'दीवाली']
['doosre', 'दूसरे']
['death', 'डेथ']
['deti', 'देती']
['dekhi', 'देखी']
['dekhne', 'देखने']
['deate', 'देते']
['doosti', 'दोस्ती']
['doost', 'दोस्त']
['deepika', 'दीपिका']
['dekhhne', 'देखने']
['de', 'दे']
['din', 'दिन']
['duniyaa', 'दुनियाँ']
['dinkar', 'दिनकर']
['dil', 'दिल']
['diljale', 'दिलजले']
['dosto', 'दोस्तों']
['durga', 'दुर्गा']
['darbhanga', 'दरभंगा']
['duri', 'दूरी']
['door', 'दूर']
['das', 'दस']
['damodar', 'दामोदर']
['dhan', 'धान']
['dal', 'दाल']
['darshaniya', 'दर्शनीय']
['dewghar', 'देवघर']
['desh', 'देश']
['deskh', 'देश']
['dikhte', 'दिखते']
['dekhakar', 'देखकर']
['diya', 'दिया']
['dam', 'दम']
['dosti', 'दोस्ती']
['dilwaalon', 'दिलवालों']
['dimag', 'दिमाग']
['donoi', 'दोनो']
['dilli', 'दिल्ली']
['dost', 'दोस्त']
['dekha', 'देखा']
['dino', 'दिनों']
['dino', 'दिनो']
['dhyan', 'ध्यान']
['decision', 'डिसीजन']
['dekhte', 'देखते']
['dur', 'दूर']
['dwara', 'द्वारा']
['do', 'दो']
['daura', 'दौरा']
['dirgh', 'दीर्घ']
['diye', 'दिया']
['durlabh', 'दुर्लभ']
['dhai', 'ढाई']
['di', 'दी']
['dakshin', 'दक्षिण']
['doosri', 'दूसरी']
['dekh', 'देख']
['desh', 'देश']
['dakhil', 'दाखिल']
['doctor', 'श्री']
['dovashiyo', 'दोवासियों']
['di', 'दी']
['dutch', 'डच']
['daak', 'डाक']
['daak', 'डाक']
['disha', 'दिशा']
['dene', 'देने']
['do', 'दो']
['dharmendra', 'धर्मेंद्र']
['dhoro', 'धौरों']
['darwazo', 'दरवाजे']
['direct', 'डायरेक्ट']
['dth', 'डीटीएच']
['dhanbal', 'धनबल']
['dhan', 'धन']
['draw', 'ड्रॉ']
['drishti', 'दृष्टि']
['diwas', 'दिवस']
['dekhna', 'देखना']
['dilayi', 'दिलाई']
['dns', 'डीएनए']
['double', 'डबल']
['degree', 'डिग्री']
['divasi', 'आदिवासी']
['dono', 'दोनो']
['dus', 'दस']
['dhoondhna', 'ढूँढना']
['drushya', 'दृश्य']
['daud', 'दौड़']
['dwitya', 'द्वितीय']
['duniya', 'दुनियां']
['dhang', 'ढँग']
['daakhil', 'दाखिल']
['dowaasiyon', 'दोवासियों']
['daak', 'डाक']
['daara', 'द्वारा']
['dharmendra', 'धर्मेंद्र']
['doron', 'धौरों']
['direct', 'डायरेक्ट']
['dth', 'डीटीएच']
['dhan-bal', 'धनबल']
['dhrishti', 'दृष्टि']
['divas', 'दिवस']
['dna', 'डीएनए']
['dipawali', 'दिपावली']
['dauran', 'दौरान']
['damon', 'दामों']
['dupatte', 'दुपट्टे']
